item1,item2,pathtoitem1,pathtoitem2
Coloured chalks moulded,IS 4222 : 2018,shoot-em-standards/assets/product_123.png,shoot-em-standards/assets/product_123_standard.png
"Paper adhesives, liquid gum and office paste",IS 2257 : 1989,shoot-em-standards/assets/product_124.png,shoot-em-standards/assets/product_124_standard.png
School Bag,IS 10228 : 1982,shoot-em-standards/assets/product_125.png,shoot-em-standards/assets/product_125_standard.png
Plastic Overhead water tank,IS 12701 : 1996,shoot-em-standards/assets/product_126.png,shoot-em-standards/assets/product_126_standard.png
Wash Basins (Ceramic/ Vitreous,IS 2556 (Part 4) : 2004,shoot-em-standards/assets/product_127.png,shoot-em-standards/assets/product_127_standard.png
Stainless Steel Sinks for domestic use,IS 13983 : 1994,shoot-em-standards/assets/product_128.png,shoot-em-standards/assets/product_128_standard.png
Water meter (Domestic),IS 779 : 1994,shoot-em-standards/assets/product_129.png,shoot-em-standards/assets/product_129_standard.png
Window air conditioner,IS 1391 (Part 1) : 2017,shoot-em-standards/assets/product_130.png,shoot-em-standards/assets/product_130_standard.png
Split air conditioner,IS 1391 (Part 2) : 2018,shoot-em-standards/assets/product_131.png,shoot-em-standards/assets/product_131_standard.png
Household refrigerators,IS 17550 : 2021,shoot-em-standards/assets/product_132.png,shoot-em-standards/assets/product_132_standard.png
Electric iron,IS 366 : 1991,shoot-em-standards/assets/product_133.png,shoot-em-standards/assets/product_133_standard.png
Electric kettles and jugs,IS 367 : 1993,shoot-em-standards/assets/product_134.png,shoot-em-standards/assets/product_134_standard.png
Water heaters,IS 368 : 2014,shoot-em-standards/assets/product_135.png,shoot-em-standards/assets/product_135_standard.png
Electric ceiling type fans and regulators,IS 374 : 1979,shoot-em-standards/assets/product_136.png,shoot-em-standards/assets/product_136_standard.png
Electric toasters,IS 1287 : 1993,shoot-em-standards/assets/product_137.png,shoot-em-standards/assets/product_137_standard.png
Electric stoves,IS 2994 : 1992,shoot-em-standards/assets/product_138.png,shoot-em-standards/assets/product_138_standard.png
Electric water boilers,IS 3412 : 1994,shoot-em-standards/assets/product_139.png,shoot-em-standards/assets/product_139_standard.png
Electric food Mixers,IS 4250 : 1980,shoot-em-standards/assets/product_140.png,shoot-em-standards/assets/product_140_standard.png
Electric shavers,IS 5159 : 1969,shoot-em-standards/assets/product_141.png,shoot-em-standards/assets/product_141_standard.png
Electric cooking ovens,IS 5790 : 1985,shoot-em-standards/assets/product_142.png,shoot-em-standards/assets/product_142_standard.png
Washing machines,IS 14155 : 1994,shoot-em-standards/assets/product_143.png,shoot-em-standards/assets/product_143_standard.png
Electric Gas Lighters,IS 10975 : 1984,shoot-em-standards/assets/product_144.png,shoot-em-standards/assets/product_144_standard.png
Electric steam cookers,IS 11879 : 1986,shoot-em-standards/assets/product_145.png,shoot-em-standards/assets/product_145_standard.png
Electric coffee makers,IS 14144 : 1994,shoot-em-standards/assets/product_146.png,shoot-em-standards/assets/product_146_standard.png
Electric hair dryers,IS 7154 : 1994,shoot-em-standards/assets/product_147.png,shoot-em-standards/assets/product_147_standard.png
Plugs and socket,IS 1293 : 2019,shoot-em-standards/assets/product_148.png,shoot-em-standards/assets/product_148_standard.png
Switches,IS 3854 : 1997,shoot-em-standards/assets/product_149.png,shoot-em-standards/assets/product_149_standard.png
Insulated Cables,IS 694 : 2010,shoot-em-standards/assets/product_150.png,shoot-em-standards/assets/product_150_standard.png
Electric Hobs Household Electric Cooking Appliances — Performance Requirements of Electric Hobs,IS 19014 : 2022,shoot-em-standards/assets/product_151.png,shoot-em-standards/assets/product_151_standard.png
Ordinary Portland Cement,IS 269 : 2015,shoot-em-standards/assets/product_152.png,shoot-em-standards/assets/product_152_standard.png
Portland Pozzolana Cement,IS 1489 (Part 1) : 1991,shoot-em-standards/assets/product_153.png,shoot-em-standards/assets/product_153_standard.png
White cement,IS 8042 : 2015,shoot-em-standards/assets/product_154.png,shoot-em-standards/assets/product_154_standard.png
Composite cement,IS 16415 : 2015,shoot-em-standards/assets/product_155.png,shoot-em-standards/assets/product_155_standard.png
Steel bar (for concrete),IS 1786 : 2008,shoot-em-standards/assets/product_156.png,shoot-em-standards/assets/product_156_standard.png
Structural steel,IS 2062 : 2011,shoot-em-standards/assets/product_157.png,shoot-em-standards/assets/product_157_standard.png
Red brick (clay),IS 1077 : 1992,shoot-em-standards/assets/product_158.png,shoot-em-standards/assets/product_158_standard.png
Cement ash brick,IS 16720 : 2018,shoot-em-standards/assets/product_159.png,shoot-em-standards/assets/product_159_standard.png
Solid and Hollow block,IS 2572 & IS 2185 (Part 1) : 2005,shoot-em-standards/assets/product_160.png,shoot-em-standards/assets/product_160_standard.png
